wavelength (nm);29/5/2023;29/5/2023;29/5/2023;29/5/2023
379.5;4.48500;4.72500;5.98400;6.51600
380;4.41800;4.67900;5.89900;6.43400
380.5;4.32100;4.57000;5.83000;6.34500
381;4.24000;4.47300;5.82800;6.29000
381.5;4.22400;4.36400;5.75200;6.21200
382;4.10000;4.21000;5.69100;6.15600
382.5;4.06000;4.17400;5.62400;6.07000
383;3.96800;4.05800;5.57800;5.97800
383.5;3.94900;4.00500;5.52500;5.89500
384;3.97500;3.97900;5.47700;5.81600
384.5;4.01200;4.00300;5.46300;5.73800
385;4.05000;4.02600;5.41400;5.66000
385.5;4.01900;3.93700;5.42600;5.65900
386;4.03700;3.89100;5.45800;5.67500
386.5;4.01800;3.84000;5.37400;5.60600
387;3.94800;3.84000;5.28800;5.48600
387.5;3.91400;3.85200;5.19700;5.35100
388;3.86000;3.77100;5.15400;5.25600
388.5;3.84800;3.73400;5.06800;5.14000
389;3.81900;3.70200;5.02600;5.02400
389.5;3.81400;3.64900;4.99000;4.93500
390;3.78100;3.56000;4.96500;4.89800
390.5;3.70000;3.44700;4.97000;4.92300
391;3.59000;3.39900;5.00200;4.93800
391.5;3.45600;3.29300;4.98400;4.92100
392;3.41000;3.28700;4.96600;4.87200
392.5;3.39100;3.29900;4.91700;4.78600
393;3.39600;3.27500;4.83000;4.71800
393.5;3.40200;3.28900;4.67400;4.61200
394;3.40900;3.30000;4.58800;4.51900
394.5;3.43900;3.25400;4.49800;4.42600
395;3.38400;3.15800;4.46400;4.35800
395.5;3.38800;3.16400;4.40000;4.28800
396;3.39700;3.16300;4.37500;4.23000
396.5;3.37700;3.10300;4.36100;4.20600
397;3.36200;3.12600;4.36400;4.17300
397.5;3.33200;3.14900;4.32600;4.11000
398;3.26900;3.12100;4.28000;4.07800
398.5;3.25600;3.13800;4.23400;4.02500
399;3.23400;3.04500;4.26300;4.02200
399.5;3.14700;2.92600;4.25200;3.99600
400;3.01200;2.79900;4.25800;3.98600
400.5;2.95000;2.73400;4.23800;3.98300
401;2.90900;2.66200;4.22400;3.98900
401.5;2.86000;2.57700;4.15200;3.96400
402;2.76900;2.51800;4.10300;3.93200
402.5;2.71600;2.49500;4.00900;3.84800
403;2.66300;2.47400;3.97500;3.80800
403.5;2.71600;2.50600;3.94300;3.71600
404;2.72400;2.47900;3.94900;3.68700
404.5;2.66800;2.46100;3.92600;3.63600
405;2.60700;2.47000;3.93800;3.60600
405.5;2.58400;2.47900;3.90500;3.58400
406;2.57600;2.46900;3.85200;3.54200
406.5;2.56600;2.43300;3.77100;3.48200
407;2.49300;2.38700;3.77300;3.45300
407.5;2.47200;2.35500;3.73400;3.41000
408;2.46800;2.30600;3.74600;3.43800
408.5;2.45100;2.24000;3.79200;3.47100
409;2.39700;2.14500;3.78500;3.49000
409.5;2.29100;2.03500;3.76100;3.50900
410;2.25200;2.01600;3.73400;3.53500
410.5;2.26000;2.00100;3.67100;3.51200
411;2.27000;2.02800;3.59800;3.46200
411.5;2.30000;2.04400;3.53500;3.39500
412;2.29300;2.06700;3.49500;3.34200
412.5;2.33500;2.09200;3.43700;3.24700
413;2.35300;2.12200;3.40600;3.20900
413.5;2.30700;2.10000;3.42300;3.20100
414;2.23500;2.04100;3.37600;3.14800
414.5;2.15200;2.00200;3.32900;3.12100
415;2.15200;2.02200;3.28800;3.08000
